author_id,labels
0,0
1,0
2,0
3,1
4,0
5,1
6,5
7,5
12,3
13,3
14,8
16,3
17,3
18,3
19,3
20,3
21,5
25,1
26,1
27,1
29,1
30,1
32,1
33,0
34,1
35,1
37,0
38,2
39,5
40,5
41,5
42,2
43,2
44,2
45,5
46,5
50,5
51,2
52,2
53,2
55,5
56,5
57,5
58,2
59,5
60,5
61,5
62,5
63,2
64,5
66,5
67,5
69,5
70,5
71,5
72,5
73,2
74,5
75,0
76,1
77,1
78,3
81,3
82,3
88,1
90,6
93,0
94,6
95,0
96,1
97,0
98,1
100,1
103,1
105,1
106,1
107,1
109,1
110,1
111,1
112,1
113,9
114,9
115,9
117,9
118,9
119,9
120,9
121,5
122,5
123,5
124,5
125,5
127,5
128,2
131,2
133,5
134,2
135,2
136,2
137,2
138,2
139,5
140,8
142,5
144,5
146,8
148,5
150,8
151,1
152,1
153,1
157,6
158,6
159,1
160,6
161,7
162,0
163,2
164,6
165,6
166,6
167,9
168,9
169,9
171,9
172,9
173,5
174,9
175,9
176,9
177,9
178,8
179,2
180,5
181,5
182,1
183,3
184,0
192,1
193,3
194,1
195,1
196,1
197,6
198,0
199,0
200,1
201,3
202,3
203,8
204,8
205,8
206,8
207,8
208,3
209,8
210,8
212,3
213,3
218,8
219,8
220,8
221,8
222,3
223,8
224,9
227,9
228,7
229,7
230,5
231,5
233,5
234,5
235,5
236,5
237,2
238,5
239,2
241,5
243,5
244,2
245,5
250,3
252,2
254,2
255,5
256,2
258,9
259,5
260,3
261,5
262,5
263,2
264,5
267,7
272,9
273,8
274,6
275,5
276,5
277,5
278,5
279,2
280,6
282,6
285,6
287,6
288,6
289,6
290,6
295,1
296,6
297,6
299,6
300,0
301,1
302,5
303,1
304,1
305,0
306,6
307,6
308,1
309,1
312,1
313,2
316,2
317,5
320,6
324,6
325,6
326,6
327,7
328,7
330,7
331,7
332,6
334,5
335,5
336,2
337,5
338,5
344,5
346,3
355,8
356,8
357,8
358,8
359,8
360,3
361,3
362,3
363,8
366,8
367,3
368,8
369,5
370,3
371,5
374,5
377,3
378,5
379,1
380,1
382,1
383,6
384,2
386,1
387,1
390,8
392,8
396,8
398,8
399,8
400,3
402,2
404,5
405,5
406,5
407,5
408,5
409,5
410,5
415,5
416,2
417,5
421,5
422,2
423,2
424,5
425,5
428,2
429,5
430,2
431,2
432,5
433,5
434,5
435,5
436,2
437,5
438,2
443,5
448,5
449,2
454,5
455,9
456,9
457,9
458,9
460,9
461,9
462,9
463,9
464,9
465,3
466,3
468,5
469,5
471,2
472,2
475,3
477,5
479,2
480,3
481,5
482,8
483,8
484,8
485,8
486,8
487,8
488,5
489,8
490,8
491,8
493,7
494,8
495,8
496,7
497,7
498,7
499,5
500,7
501,2
502,2
503,2
504,2
505,7
506,5
508,2
509,5
513,5
514,2
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,8
525,2
526,5
527,5
528,2
529,5
530,5
531,8
532,2
533,3
534,5
535,2
536,3
537,3
538,3
539,3
540,3
542,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,8
559,8
560,8
563,3
564,8
565,3
566,3
567,3
568,5
569,3
570,5
571,2
572,2
573,6
575,2
576,5
577,2
578,2
579,2
580,5
582,5
583,5
584,2
585,5
587,5
589,2
590,2
591,2
592,2
593,5
594,5
596,5
600,5
601,2
603,2
604,8
605,8
606,8
607,8
610,8
611,8
612,8
613,8
614,8
615,8
616,8
617,8
618,3
619,8
620,3
621,3
622,3
623,2
628,2
629,2
630,2
631,2
632,5
634,0
637,6
638,1
639,6
640,6
641,1
642,6
643,5
644,5
646,9
647,9
652,0
653,9
660,5
664,6
666,6
667,6
668,9
669,2
670,4
671,2
672,4
673,7
675,7
680,1
681,1
682,1
683,1
684,1
685,1
687,6
688,2
689,6
690,2
691,3
692,1
693,1
694,2
695,2
697,2
698,2
699,9
700,9
704,5
705,9
706,9
707,9
708,5
709,5
710,5
711,8
712,3
715,8
717,2
718,2
719,2
725,5
729,2
730,2
731,2
732,9
733,2
734,6
735,9
736,7
738,2
739,2
740,7
741,7
742,0
744,2
745,6
752,1
753,0
754,8
755,8
756,8
757,5
759,5
760,5
762,2
764,2
767,8
